timestamp,road_segment_id,avg_speed,min_speed,max_speed,record_count,avg_pm25,pm25_count,location_count,is_critical,severity_index
2025-11-18 00:00:00+07:00,segment_1077_10667,75.49,75.49,75.49,1,13.274534708923763,2.0,2.0,False,0.15573633677230947
2025-11-18 01:00:00+07:00,segment_1077_10667,74.45,74.45,74.45,1,40.75404149691265,2.0,2.0,False,0.22963510374228158
2025-11-18 02:00:00+07:00,segment_1077_10667,16.42,16.42,16.42,1,95.27258332570395,2.0,2.0,True,0.6560814583142599
2025-11-18 03:00:00+07:00,segment_1077_10667,16.06,16.06,16.06,1,97.41375007629395,2.0,2.0,True,0.6632343751907349
2025-11-18 04:00:00+07:00,segment_1077_10667,17.35,17.35,17.35,1,118.31284047232734,2.0,2.0,True,0.7090321011808183
2025-11-18 05:00:00+07:00,segment_1077_10667,71.75,71.75,71.75,1,43.49045844078064,2.0,2.0,False,0.2499761461019516
2025-11-18 06:00:00+07:00,segment_1077_10667,78.44,78.44,78.44,1,26.776305625173777,2.0,2.0,False,0.17474076406293443
2025-11-18 07:00:00+07:00,segment_1077_10667,45.9,45.9,45.9,1,30.06841654777527,2.0,2.0,False,0.3456710413694382
2025-11-18 08:00:00+07:00,segment_1077_10667,51.55,51.55,51.55,1,32.480500141779586,2.0,2.0,False,0.323451250354449
2025-11-18 09:00:00+07:00,segment_1077_10667,72.61,72.61,72.61,1,27.786499977111816,2.0,2.0,False,0.20641624994277957
2025-11-18 10:00:00+07:00,segment_1077_10667,60.66,60.66,60.66,1,32.08499989509583,2.0,2.0,False,0.2769124997377396
2025-11-18 11:00:00+07:00,segment_1077_10667,64.98,64.98,64.98,1,31.90149997075399,2.0,2.0,False,0.2548537499268849
2025-11-18 12:00:00+07:00,segment_1077_10667,76.25,76.25,76.25,1,,,,False,
2025-11-18 13:00:00+07:00,segment_1077_10667,73.62,73.62,73.62,1,46.099666849772134,2.0,2.0,False,0.2471491671244303
2025-11-18 14:00:00+07:00,segment_1077_10667,65.52,65.52,65.52,1,37.43033343950908,2.0,2.0,False,0.2659758335987727
2025-11-18 15:00:00+07:00,segment_1077_10667,74.74,74.74,74.74,1,54.95090992185804,2.0,2.0,False,0.2636772748046451
2025-11-18 16:00:00+07:00,segment_1077_10667,80.24,80.24,80.24,1,43.47625001271565,2.0,2.0,False,0.2074906250317891
2025-11-18 17:00:00+07:00,segment_1077_10667,45.18,45.18,45.18,1,15.890416669845582,2.0,2.0,False,0.313826041674614
2025-11-18 18:00:00+07:00,segment_1077_10667,69.16,69.16,69.16,1,23.58375000953674,2.0,2.0,False,0.21315937502384186
2025-11-18 19:00:00+07:00,segment_1077_10667,85.93,85.93,85.93,1,30.415166775385543,2.0,2.0,False,0.1463879169384638
2025-11-18 22:00:00+07:00,segment_1077_10667,72.43,69.66,75.2,2,26.526138855351338,6.0,6.0,False,0.2041653471383783
