timestamp,road_segment_id,avg_speed,min_speed,max_speed,record_count
2025-11-18 12:00:00+07:00,segment_1077_10667,103.25,103.25,103.25,1
2025-11-18 13:00:00+07:00,segment_1077_10667,55.04,55.04,55.04,1
2025-11-18 14:00:00+07:00,segment_1077_10667,9.32,9.32,9.32,1
2025-11-18 15:00:00+07:00,segment_1077_10667,44.96,44.96,44.96,1
2025-11-18 16:00:00+07:00,segment_1077_10667,11.12,11.12,11.12,1
2025-11-18 17:00:00+07:00,segment_1077_10667,29.92,29.92,29.92,1
2025-11-18 18:00:00+07:00,segment_1077_10667,60.62,60.62,60.62,1
2025-11-18 19:00:00+07:00,segment_1077_10667,50.26,50.26,50.26,1
2025-11-18 20:00:00+07:00,segment_1077_10667,47.66,47.66,47.66,1
2025-11-18 21:00:00+07:00,segment_1077_10667,47.88,47.88,47.88,1
2025-11-18 22:00:00+07:00,segment_1077_10667,77.83,77.83,77.83,1
2025-11-18 23:00:00+07:00,segment_1077_10667,64.22,64.22,64.22,1
2025-11-19 00:00:00+07:00,segment_1077_10667,51.48,51.48,51.48,1
2025-11-19 01:00:00+07:00,segment_1077_10667,65.23,65.23,65.23,1
2025-11-19 02:00:00+07:00,segment_1077_10667,79.67,79.67,79.67,1
2025-11-19 03:00:00+07:00,segment_1077_10667,73.66,73.66,73.66,1
2025-11-19 04:00:00+07:00,segment_1077_10667,89.68,89.68,89.68,1
2025-11-19 05:00:00+07:00,segment_1077_10667,63.36,63.36,63.36,1
2025-11-19 06:00:00+07:00,segment_1077_10667,79.6,79.6,79.6,1
2025-11-19 07:00:00+07:00,segment_1077_10667,18.9,18.9,18.9,1
2025-11-19 08:00:00+07:00,segment_1077_10667,53.42,53.42,53.42,1
2025-11-19 09:00:00+07:00,segment_1077_10667,69.8,69.8,69.8,1
2025-11-19 10:00:00+07:00,segment_1077_10667,58.21,58.21,58.21,1
